"ID","アイテムオプションID","アイテムオプション名前(NC)","値","表示順","RGB","プラットフォームプリセット"
"","2","カラー","ミックスグレー","200","",""
"","2","カラー","ライトグレー","201","",""
"","2","カラー","ゴールド","202","",""
"","2","カラー","ミントグリーン","203","",""
"","2","カラー","シティグリーン","204","",""
"","2","カラー","メロン","205","",""
"","2","カラー","ラベンダー","206","",""
"","2","カラー","サックス","207","",""
"","2","カラー","アクアブルー","208","",""
"","2","カラー","スレート","209","",""
"","2","カラー","スミ","210","",""
"","2","カラー","カナリアイエロー","211","",""
"","2","カラー","バニラホワイト","212","",""
"","2","カラー","ハイレッド","213","",""
"","2","カラー","バナナ","214","",""
"","2","カラー","ライトイエロー","215","",""
"","2","カラー","トロピカルピンク","216","",""
"","2","カラー","サンドカーキ","217","",""
"","2","カラー","ターコイズブルー","218","",""
"","2","カラー","バイオレットパープル","219","",""
"","2","カラー","サンドベージュ","220","",""
"","2","カラー","アプリコット","221","",""
"","2","カラー","アップルグリーン","222","",""
"","2","カラー","ベビーピンク","223","",""
"","2","カラー","ダークヘザーネイビー","224","",""
"","2","カラー","ダークネイビー","225","",""
"","2","カラー","ヘザーブラック","226","",""
"","2","カラー","ライトオリーブ","227","",""
"","2","カラー","ヘイジーブラック","228","",""
"","2","カラー","ヘイジーネイビー","229","",""
"","2","カラー","ヘイジーグリーン","230","",""
"","2","カラー","グレイッシュパープル","231","",""
"","2","カラー","グレイッシュグリーン","232","",""
"","2","カラー","グレージュ","233","",""
"","2","カラー","ヘイジーパープル","234","",""
"","2","カラー","ヘイジーオレンジ","235","",""
"","2","カラー","ヘイジーブルー","236","",""
