"在庫ID","JAN","拠点ID","プラットフォームプリセット","現在の数量(NC)","増減数量"
"","2900000020001","195","","","100"
"","2900000020002","195","","","100"
"","2900000020003","195","","","100"
"","2900000020004","195","","","100"
"","2900000020005","195","","","100"
"","2900000020006","195","","","100"
"","2900000020007","195","","","100"
"","2900000020008","195","","","100"
"","2900000020009","195","","","100"
"","2900000020010","195","","","100"
"","2900000020011","195","","","100"
"","2900000020012","195","","","100"
"","2900000020013","195","","","100"
"","2900000020014","195","","","100"
"","2900000020015","195","","","100"
"","2900000020016","195","","","100"
"","2900000020017","195","","","100"
"","2900000020018","195","","","100"
"","2900000020019","195","","","100"
"","2900000020020","195","","","100"
"","2900000020021","195","","","100"
"","2900000020022","195","","","100"
"","2900000020023","195","","","100"
"","2900000020024","195","","","100"
"","2900000020025","195","","","100"
"","2900000020026","195","","","100"
"","2900000020027","195","","","100"
"","2900000020028","195","","","100"
"","2900000020029","195","","","100"
"","2900000020030","195","","","100"
"","2900000020031","195","","","100"
"","2900000020032","195","","","100"
"","2900000020033","195","","","100"
"","2900000020034","195","","","100"
"","2900000020035","195","","","100"
"","2900000020036","195","","","100"
"","2900000020037","195","","","100"
"","2900000020038","195","","","100"
"","2900000020039","195","","","100"
"","2900000020040","195","","","100"
"","2900000020041","195","","","100"
"","2900000020042","195","","","100"
"","2900000020043","195","","","100"
"","2900000020044","195","","","100"
"","2900000020045","195","","","100"
"","2900000020046","195","","","100"
"","2900000020047","195","","","100"
"","2900000020048","195","","","100"
"","2900000020049","195","","","100"
"","2900000020050","195","","","100"
"","2900000020051","195","","","100"
"","2900000020052","195","","","100"
"","2900000020053","195","","","100"
"","2900000020054","195","","","100"
"","2900000020055","195","","","100"
"","2900000020056","195","","","100"
"","2900000020057","195","","","100"
"","2900000020058","195","","","100"
"","2900000020059","195","","","100"
"","2900000020060","195","","","100"
"","2900000020061","195","","","100"
"","2900000020062","195","","","100"
"","2900000020063","195","","","100"
"","2900000020064","195","","","100"
"","2900000020065","195","","","100"
"","2900000020066","195","","","100"
"","2900000020067","195","","","100"
"","2900000020068","195","","","100"
"","2900000020069","195","","","100"
"","2900000020070","195","","","100"
"","2900000020071","195","","","100"
