"在庫ID","JAN","拠点ID","プラットフォームプリセット","現在の数量(NC)","増減数量"
"","2900000030001","195","","","100"
"","2900000030002","195","","","100"
"","2900000030003","195","","","100"
"","2900000030004","195","","","100"
"","2900000030005","195","","","100"
"","2900000030006","195","","","100"
"","2900000030007","195","","","100"
"","2900000030008","195","","","100"
"","2900000030009","195","","","100"
"","2900000030010","195","","","100"
"","2900000030011","195","","","100"
"","2900000030012","195","","","100"
"","2900000030013","195","","","100"
"","2900000030014","195","","","100"
"","2900000030015","195","","","100"
"","2900000030016","195","","","100"
"","2900000030017","195","","","100"
"","2900000030018","195","","","100"
"","2900000030019","195","","","100"
"","2900000030020","195","","","100"
"","2900000030021","195","","","100"
"","2900000030022","195","","","100"
"","2900000030023","195","","","100"
"","2900000030024","195","","","100"
"","2900000030025","195","","","100"
"","2900000030026","195","","","100"
"","2900000030027","195","","","100"
"","2900000030028","195","","","100"
"","2900000030029","195","","","100"
"","2900000030030","195","","","100"
"","2900000030031","195","","","100"
"","2900000030032","195","","","100"
"","2900000030033","195","","","100"
"","2900000030034","195","","","100"
"","2900000030035","195","","","100"
"","2900000030036","195","","","100"
"","2900000030037","195","","","100"
"","2900000030038","195","","","100"
"","2900000030039","195","","","100"
"","2900000030040","195","","","100"
"","2900000030041","195","","","100"
"","2900000030042","195","","","100"
"","2900000030043","195","","","100"
"","2900000030044","195","","","100"
"","2900000030045","195","","","100"
"","2900000030046","195","","","100"
"","2900000030047","195","","","100"
"","2900000030048","195","","","100"
"","2900000030049","195","","","100"
"","2900000030050","195","","","100"
"","2900000030051","195","","","100"
"","2900000030052","195","","","100"
"","2900000030053","195","","","100"
"","2900000030054","195","","","100"
"","2900000030055","195","","","100"
"","2900000030056","195","","","100"
"","2900000030057","195","","","100"
"","2900000030058","195","","","100"
"","2900000030059","195","","","100"
"","2900000030060","195","","","100"
"","2900000030061","195","","","100"
"","2900000030062","195","","","100"
"","2900000030063","195","","","100"
"","2900000030064","195","","","100"
"","2900000030065","195","","","100"
"","2900000030066","195","","","100"
"","2900000030067","195","","","100"
"","2900000030068","195","","","100"
"","2900000030069","195","","","100"
"","2900000030070","195","","","100"
"","2900000030071","195","","","100"
"","2900000030072","195","","","100"
"","2900000030073","195","","","100"
"","2900000030074","195","","","100"
"","2900000030075","195","","","100"
"","2900000030076","195","","","100"
"","2900000030077","195","","","100"
"","2900000030078","195","","","100"
"","2900000030079","195","","","100"
"","2900000030080","195","","","100"
"","2900000030081","195","","","100"
"","2900000030082","195","","","100"
"","2900000030083","195","","","100"
"","2900000030084","195","","","100"
"","2900000030085","195","","","100"
"","2900000030086","195","","","100"
"","2900000030087","195","","","100"
"","2900000030088","195","","","100"
"","2900000030089","195","","","100"
"","2900000030090","195","","","100"
"","2900000030091","195","","","100"
"","2900000030092","195","","","100"
"","2900000030093","195","","","100"
"","2900000030094","195","","","100"
"","2900000030095","195","","","100"
"","2900000030096","195","","","100"
"","2900000030097","195","","","100"
"","2900000030098","195","","","100"
"","2900000030099","195","","","100"
"","2900000030100","195","","","100"
"","2900000030101","195","","","100"
"","2900000030102","195","","","100"
"","2900000030103","195","","","100"
"","2900000030104","195","","","100"
"","2900000030105","195","","","100"
"","2900000030106","195","","","100"
"","2900000030107","195","","","100"
"","2900000030108","195","","","100"
"","2900000030109","195","","","100"
"","2900000030110","195","","","100"
"","2900000030111","195","","","100"
"","2900000030112","195","","","100"
"","2900000030113","195","","","100"
"","2900000030114","195","","","100"
"","2900000030115","195","","","100"
"","2900000030116","195","","","100"
"","2900000030117","195","","","100"
"","2900000030118","195","","","100"
"","2900000030119","195","","","100"
"","2900000030120","195","","","100"
"","2900000030121","195","","","100"
"","2900000030122","195","","","100"
"","2900000030123","195","","","100"
"","2900000030124","195","","","100"
"","2900000030125","195","","","100"
"","2900000030126","195","","","100"
"","2900000030127","195","","","100"
"","2900000030128","195","","","100"
"","2900000030129","195","","","100"
"","2900000030130","195","","","100"
"","2900000030131","195","","","100"
"","2900000030132","195","","","100"
"","2900000030133","195","","","100"
"","2900000030134","195","","","100"
"","2900000030135","195","","","100"
"","2900000030136","195","","","100"
"","2900000030137","195","","","100"
"","2900000030138","195","","","100"
"","2900000030139","195","","","100"
"","2900000030140","195","","","100"
"","2900000030141","195","","","100"
"","2900000030142","195","","","100"
"","2900000030143","195","","","100"
"","2900000030144","195","","","100"
