"アイテムID(NC)","アイテムコード","名称","代表画像ファイル名(NC)","説明","素材","サイズHTML","表示順","アイテム表示可否","納期(日)","配送コメント","最低数量","アイテムプラットフォームプリセット","アイテム個体ID","カラーID","カラー名称(NC)","カラー表示順","サイズID","サイズ名称(NC)","3DモデルID","3Dモデル名称(NC)","アイテム個体表示可否","アイテム個体プラットフォームプリセット","ベンダー名(ベンダー情報)","アイテム型番(ベンダー情報)","カラー名(ベンダー情報)","カラーコード(ベンダー情報)","サイズ名(ベンダー情報)","JAN(ベンダー情報)","価格(ベンダー情報)"
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","","United Athle 5942-01。6.2オンス プレミアム Tシャツ。","綿100%","XS,S,M,L,XL,XXL,XXXL","3","1","10","（仮）通常配送","1","0","","6052","ホワイト","1","6046","","","","1","0","（仮）","5942-01","ホワイト","0001","XS","2900000036001","1760"
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","","United Athle 5942-01。6.2オンス プレミアム Tシャツ。","綿100%","XS,S,M,L,XL,XXL,XXXL","3","1","10","（仮）通常配送","1","0","","6060","ブラック","2","6046","","","","1","0","（仮）","5942-01","ブラック","0002","XS","2900000036002","1870"
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","","United Athle 5942-01。6.2オンス プレミアム Tシャツ。","綿100%","XS,S,M,L,XL,XXL,XXXL","3","1","10","（仮）通常配送","1","0","","6054","アッシュ","3","6046","","","","1","0","（仮）","5942-01","アッシュ","0005","XS","2900000036003","1870"
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","","United Athle 5942-01。6.2オンス プレミアム Tシャツ。","綿100%","XS,S,M,L,XL,XXL,XXXL","3","1","10","（仮）通常配送","1","0","","6241","ミックスグレー","4","6046","","","","1","0","（仮）","5942-01","ミックスグレー","0006","XS","2900000036004","1870"
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","","United Athle 5942-01。6.2オンス プレミアム Tシャツ。","綿100%","XS,S,M,L,XL,XXL,XXXL","3","1","10","（仮）通常配送","1","0","","6058","チャコール","5","6046","","","","1","0","（仮）","5942-01","チャコール","0007","XS","2900000036005","1870"
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","","United Athle 5942-01。6.2オンス プレミアム Tシャツ。","綿100%","XS,S,M,L,XL,XXL,XXXL","3","1","10","（仮）通常配送","1","0","","6055","オートミール","6","6046","","","","1","0","（仮）","5942-01","オートミール","0009","XS","2900000036006","1870"
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","","United Athle 5942-01。6.2オンス プレミアム Tシャツ。","綿100%","XS,S,M,L,XL,XXL,XXXL","3","1","10","（仮）通常配送","1","0","","6053","アイボリー","7","6046","","","","1","0","（仮）","5942-01","アイボリー","0016","XS","2900000036007","1870"
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","","United Athle 5942-01。6.2オンス プレミアム Tシャツ。","綿100%","XS,S,M,L,XL,XXL,XXXL","3","1","10","（仮）通常配送","1","0","","6063","ナチュラル","8","6046","","","","1","0","（仮）","5942-01","ナチュラル","0019","XS","2900000036008","1870"
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","","United Athle 5942-01。6.2オンス プレミアム Tシャツ。","綿100%","XS,S,M,L,XL,XXL,XXXL","3","1","10","（仮）通常配送","1","0","","6065","イエロー","9","6046","","","","1","0","（仮）","5942-01","イエロー","0021","XS","2900000036009","1870"
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","","United Athle 5942-01。6.2オンス プレミアム Tシャツ。","綿100%","XS,S,M,L,XL,XXL,XXXL","3","1","10","（仮）通常配送","1","0","","6243","ゴールド","10","6046","","","","1","0","（仮）","5942-01","ゴールド","0022","XS","2900000036010","1870"
