"アイテムID(NC)","アイテムコード","アイテム名(NC)","位置別アイテム画像コード","表示名","表示順","表示可否","プラットフォームプリセット","カラーID","カラー名称(NC)","サムネイルファイル名","マスク画像ファイル名"
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6052","ホワイト","5942-01-0001.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6060","ブラック","5942-01-0002.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6054","アッシュ","5942-01-0005.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6241","ミックスグレー","5942-01-0006.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6058","チャコール","5942-01-0007.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6055","オートミール","5942-01-0009.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6053","アイボリー","5942-01-0016.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6063","ナチュラル","5942-01-0019.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6065","イエロー","5942-01-0021.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6243","ゴールド","5942-01-0022.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6093","グリーン","5942-01-0029.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6245","シティグリーン","5942-01-0035.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6295","ライムグリーン","5942-01-0036.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6078","ダークブラウン","5942-01-0052.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6289","モスグリーン","5942-01-0054.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6067","オレンジ","5942-01-0064.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6073","ピンク","5942-01-0066.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6068","レッド","5942-01-0069.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6075","バーガンディ","5942-01-0072.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6296","マットパープル","5942-01-0079.jpg",""
"13573","5942-01","5942-01 6.2オンス プレミアム Tシャツ","5942-01_chest_left","左胸","1","1","0","6248","サックス","5942-01-0082.jpg",""
