"ID","アイテムオプションID","アイテムオプション名前(NC)","値","表示順","RGB","プラットフォームプリセット"
"","2","カラー","コバルトブルー","237","",""
"","2","カラー","カーボン","238","",""
"","2","カラー","ヘザーチャコール","239","",""
"","2","カラー","ホワイト/ブラック","240","",""
"","2","カラー","ホワイト/バイオレットパープル","241","",""
"","2","カラー","アッシュ/スミ","242","",""
"","2","カラー","アッシュ/ビリヤードグリーン","243","",""
"","2","カラー","アッシュ/クラシックブルー","244","",""
"","2","カラー","ヴィンテージ ナチュラル/ライトオリーブ","245","",""
"","2","カラー","ヴィンテージ ナチュラル/ダークキャメル","246","",""
"","2","カラー","グレー","247","",""
"","2","カラー","モスグリーン","248","",""
"","2","カラー","マリンブルー","249","",""
"","2","カラー","ダークチョコレート","250","",""
"","2","カラー","ヴィンテージナチュラル","251","",""
"","2","カラー","ヴィンテージイエロー","252","",""
"","2","カラー","ヴィンテージサックス","253","",""
"","2","カラー","ライムグリーン","254","",""
"","2","カラー","マットパープル","255","",""
"","2","カラー","セージグリーン","256","",""
"","2","カラー","スモーキーピンク","257","",""
"","2","カラー","フロストパープル","258","",""
"","2","カラー","スモーキーレッド","259","",""
"","2","カラー","フロストブルー","260","",""
