"アイテムID(NC)","アイテムコード","名称","代表画像ファイル名(NC)","説明","素材","サイズHTML","表示順","アイテム表示可否","納期(日)","配送コメント","最低数量","アイテムプラットフォームプリセット","アイテム個体ID","カラーID","カラー名称(NC)","カラー表示順","サイズID","サイズ名称(NC)","3DモデルID","3Dモデル名称(NC)","アイテム個体表示可否","アイテム個体プラットフォームプリセット","ベンダー名(ベンダー情報)","アイテム型番(ベンダー情報)","カラー名(ベンダー情報)","カラーコード(ベンダー情報)","サイズ名(ベンダー情報)","JAN(ベンダー情報)","価格(ベンダー情報)"
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","","United Athle 2020-01。4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）。","ポリエステル100%","XS,S,M,L,XL,XXL,XXXL,XXXXL,5XL","3","1","10","（仮）通常配送","1","0","","6052","ホワイト","1","6046","","","","1","0","（仮）","2020-01","ホワイト","0001","XS","2900000030001","1790"
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","","United Athle 2020-01。4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）。","ポリエステル100%","XS,S,M,L,XL,XXL,XXXL,XXXXL,5XL","3","1","10","（仮）通常配送","1","0","","6060","ブラック","2","6046","","","","1","0","（仮）","2020-01","ブラック","0002","XS","2900000030002","1790"
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","","United Athle 2020-01。4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）。","ポリエステル100%","XS,S,M,L,XL,XXL,XXXL,XXXXL,5XL","3","1","10","（仮）通常配送","1","0","","6241","ミックスグレー","3","6046","","","","1","0","（仮）","2020-01","ミックスグレー","0006","XS","2900000030003","1790"
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","","United Athle 2020-01。4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）。","ポリエステル100%","XS,S,M,L,XL,XXL,XXXL,XXXXL,5XL","3","1","10","（仮）通常配送","1","0","","6093","グリーン","4","6046","","","","1","0","（仮）","2020-01","グリーン","0029","XS","2900000030004","1790"
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","","United Athle 2020-01。4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）。","ポリエステル100%","XS,S,M,L,XL,XXL,XXXL,XXXXL,5XL","3","1","10","（仮）通常配送","1","0","","6245","シティグリーン","5","6046","","","","1","0","（仮）","2020-01","シティグリーン","0035","XS","2900000030005","1790"
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","","United Athle 2020-01。4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）。","ポリエステル100%","XS,S,M,L,XL,XXL,XXXL,XXXXL,5XL","3","1","10","（仮）通常配送","1","0","","6068","レッド","6","6046","","","","1","0","（仮）","2020-01","レッド","0069","XS","2900000030006","1790"
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","","United Athle 2020-01。4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）。","ポリエステル100%","XS,S,M,L,XL,XXL,XXXL,XXXXL,5XL","3","1","10","（仮）通常配送","1","0","","6075","バーガンディ","7","6046","","","","1","0","（仮）","2020-01","バーガンディ","0072","XS","2900000030007","1790"
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","","United Athle 2020-01。4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）。","ポリエステル100%","XS,S,M,L,XL,XXL,XXXL,XXXXL,5XL","3","1","10","（仮）通常配送","1","0","","6278","コバルトブルー","8","6046","","","","1","0","（仮）","2020-01","コバルトブルー","0084","XS","2900000030008","1790"
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","","United Athle 2020-01。4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）。","ポリエステル100%","XS,S,M,L,XL,XXL,XXXL,XXXXL,5XL","3","1","10","（仮）通常配送","1","0","","6087","ネイビー","9","6046","","","","1","0","（仮）","2020-01","ネイビー","0086","XS","2900000030009","1790"
"13567","2020-01","2020-01 4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）","","United Athle 2020-01。4.7オンス スペシャルドライカノコ ポロシャツ（ローブリード）。","ポリエステル100%","XS,S,M,L,XL,XXL,XXXL,XXXXL,5XL","3","1","10","（仮）通常配送","1","0","","6085","インディゴ","10","6046","","","","1","0","（仮）","2020-01","インディゴ","0087","XS","2900000030010","1790"
