"ID","加工方法指定コード","加工方法指定ID(NC)","位置別アイテム画像コード","位置別アイテム画像ID(NC)","サムネイル座標Ax","サムネイル座標Ay","サムネイル座標Bx","サムネイル座標By","サムネイル座標Cx","サムネイル座標Cy"
"","2020-01_chest_right","","2020-01_chest_left","28357","268","225","377","225","268","334"
"","2020-01_chest_center","","2020-01_chest_left","28357","287","321","501","321","287","535"
"","2020-01_behind_center","","2020-01_chest_left","28357","295","285","506","285","295","496"
"","2024-01_chest_right","","2024-01_chest_left","28358","268","225","377","225","268","334"
"","2024-01_chest_center","","2024-01_chest_left","28358","287","321","501","321","287","535"
"","2024-01_behind_center","","2024-01_chest_left","28358","295","285","506","285","295","496"
"","5010-01_chest_right","","5010-01_chest_left","28359","268","225","377","225","268","334"
"","5010-01_chest_center","","5010-01_chest_left","28359","287","321","501","321","287","535"
"","5010-01_behind_center","","5010-01_chest_left","28359","295","285","506","285","295","496"
"","5041-01_chest_right","","5041-01_chest_left","28360","268","225","377","225","268","334"
"","5041-01_chest_center","","5041-01_chest_left","28360","287","321","501","321","287","535"
"","5041-01_behind_center","","5041-01_chest_left","28360","295","285","506","285","295","496"
"","5397-01_chest_right","","5397-01_chest_left","28361","268","225","377","225","268","334"
"","5397-01_chest_center","","5397-01_chest_left","28361","287","321","501","321","287","535"
"","5397-01_behind_center","","5397-01_chest_left","28361","295","285","506","285","295","496"
"","5399-01_chest_right","","5399-01_chest_left","28362","268","225","377","225","268","334"
"","5399-01_chest_center","","5399-01_chest_left","28362","287","321","501","321","287","535"
"","5399-01_behind_center","","5399-01_chest_left","28362","295","285","506","285","295","496"
"","5942-01_chest_right","","5942-01_chest_left","28363","268","225","377","225","268","334"
"","5942-01_chest_center","","5942-01_chest_left","28363","287","321","501","321","287","535"
"","5942-01_behind_center","","5942-01_chest_left","28363","295","285","506","285","295","496"
