"ID","加工方法指定コード","アイテムコード","アイテムID(NC)","加工方法コード","加工方法ID(NC)","表示名","表示順","表示可否","キャンバス画像ファイル名","キャンバス座標Ax","キャンバス座標Ay","キャンバス座標Bx","キャンバス座標By","キャンバス座標Cx","キャンバス座標Cy","プラットフォームプリセット"
"","2020-01_chest_right","2020-01","13567","inkjet_chest_right","21907","右胸","2","1","2020-01-0001.jpg","380","300","620","300","380","540","0"
"","2020-01_chest_center","2020-01","13567","inkjet_chest_center","21908","胸中央","3","1","2020-01-0001.jpg","380","300","620","300","380","540","0"
"","2020-01_behind_center","2020-01","13567","inkjet_behind_center","21909","背中中央","4","1","2020-01-0001.jpg","380","300","620","300","380","540","0"
"","2024-01_chest_right","2024-01","13568","inkjet_chest_right","21907","右胸","2","1","2024-01-0001.jpg","380","300","620","300","380","540","0"
"","2024-01_chest_center","2024-01","13568","inkjet_chest_center","21908","胸中央","3","1","2024-01-0001.jpg","380","300","620","300","380","540","0"
"","2024-01_behind_center","2024-01","13568","inkjet_behind_center","21909","背中中央","4","1","2024-01-0001.jpg","380","300","620","300","380","540","0"
"","5010-01_chest_right","5010-01","13569","inkjet_chest_right","21907","右胸","2","1","5010-01-0001.jpg","380","300","620","300","380","540","0"
"","5010-01_chest_center","5010-01","13569","inkjet_chest_center","21908","胸中央","3","1","5010-01-0001.jpg","380","300","620","300","380","540","0"
"","5010-01_behind_center","5010-01","13569","inkjet_behind_center","21909","背中中央","4","1","5010-01-0001.jpg","380","300","620","300","380","540","0"
"","5041-01_chest_right","5041-01","13570","inkjet_chest_right","21907","右胸","2","1","5041-01-1002.jpg","380","300","620","300","380","540","0"
"","5041-01_chest_center","5041-01","13570","inkjet_chest_center","21908","胸中央","3","1","5041-01-1002.jpg","380","300","620","300","380","540","0"
"","5041-01_behind_center","5041-01","13570","inkjet_behind_center","21909","背中中央","4","1","5041-01-1002.jpg","380","300","620","300","380","540","0"
"","5397-01_chest_right","5397-01","13571","inkjet_chest_right","21907","右胸","2","1","5397-01-0001.jpg","380","300","620","300","380","540","0"
"","5397-01_chest_center","5397-01","13571","inkjet_chest_center","21908","胸中央","3","1","5397-01-0001.jpg","380","300","620","300","380","540","0"
"","5397-01_behind_center","5397-01","13571","inkjet_behind_center","21909","背中中央","4","1","5397-01-0001.jpg","380","300","620","300","380","540","0"
"","5399-01_chest_right","5399-01","13572","inkjet_chest_right","21907","右胸","2","1","5399-01-0001.jpg","380","300","620","300","380","540","0"
"","5399-01_chest_center","5399-01","13572","inkjet_chest_center","21908","胸中央","3","1","5399-01-0001.jpg","380","300","620","300","380","540","0"
"","5399-01_behind_center","5399-01","13572","inkjet_behind_center","21909","背中中央","4","1","5399-01-0001.jpg","380","300","620","300","380","540","0"
"","5942-01_chest_right","5942-01","13573","inkjet_chest_right","21907","右胸","2","1","5942-01-0001.jpg","380","300","620","300","380","540","0"
"","5942-01_chest_center","5942-01","13573","inkjet_chest_center","21908","胸中央","3","1","5942-01-0001.jpg","380","300","620","300","380","540","0"
"","5942-01_behind_center","5942-01","13573","inkjet_behind_center","21909","背中中央","4","1","5942-01-0001.jpg","380","300","620","300","380","540","0"
