"ID","加工方法指定コード","加工方法指定ID(NC)","位置別アイテム画像コード","位置別アイテム画像ID(NC)","サムネイル座標Ax","サムネイル座標Ay","サムネイル座標Bx","サムネイル座標By","サムネイル座標Cx","サムネイル座標Cy"
"68857","purple01_chest_left","76897","purple01_chest_left","27964","506","261","936","261","506","691"
"69718","bbt_chest_left","77593","bbt_chest_left","28277","328","341","656","341","328","669"
"69727","cvt_chest_left","77602","cvt_chest_left","28284","877","278","1094","278","877","495"
"70071","5001-01_chest_left","77777","5001-01_chest_left","28348","401","251","541","251","401","391"
"70089","5942-01_chest_left","77836","5942-01_chest_left","28363","411","252","542","252","411","383"
"70090","5399-01_chest_left","77835","5399-01_chest_left","28362","427","243","548","243","427","364"
"70091","5397-01_chest_left","77834","5397-01_chest_left","28361","444","320","528","320","444","404"
"70092","5041-01_chest_left","77833","5041-01_chest_left","28360","419","244","534","244","419","359"
"70093","5010-01_chest_left","77832","5010-01_chest_left","28359","429","215","520","215","429","306"
"70094","2024-01_chest_left","77831","2024-01_chest_left","28358","441","205","529","205","441","293"
"70095","2020-01_chest_left","77830","2020-01_chest_left","28357","438","260","542","260","438","364"
"70217","5001-01_chest_right","77955","5001-01_chest_left","28348","268","225","377","225","268","334"
"70218","5001-01_chest_center","77956","5001-01_chest_left","28348","287","321","501","321","287","535"
"70219","5001-01_behind_center","77957","5001-01_chest_left","28348","295","285","506","285","295","496"
